# MEAN_SAMPLE_SIZE = 83724
# TOTAL_GENES = 18514
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE                                TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
APPEL_IMATINIB_RESPONSE                  SET      32    -0.016919   -0.0007028      0.19406      0.53474 APPEL_IMATINIB_RESPONSE
APPIERTO_RESPONSE_TO_FENRETI...1         SET      48     -0.19576    -0.009955      0.14796      0.90709 APPIERTO_RESPONSE_TO_FENRETINIDE_DN
APPIERTO_RESPONSE_TO_FENRETI...2         SET      38     -0.11434   -0.0051747      0.16084      0.76141 APPIERTO_RESPONSE_TO_FENRETINIDE_UP
APRELIKOVA_BRCA1_TARGETS                 SET      44     -0.17609   -0.0085746      0.14828      0.88249 APRELIKOVA_BRCA1_TARGETS
ASGHARZADEH_NEUROBLASTOMA_PO...          SET      39      0.50024     0.022936      0.16086   0.00093754 ASGHARZADEH_NEUROBLASTOMA_POOR_SURVIVAL_DN
ASTIER_INTEGRIN_SIGNALING                SET      53    -0.052255   -0.0027919      0.14822      0.63778 ASTIER_INTEGRIN_SIGNALING
ASTON_MAJOR_DEPRESSIVE_DISOR...1         SET     149      0.11739     0.010489     0.088495     0.092341 ASTON_MAJOR_DEPRESSIVE_DISORDER_DN
ASTON_MAJOR_DEPRESSIVE_DISOR...2         SET      45     -0.07748   -0.0038153      0.15346      0.69318 ASTON_MAJOR_DEPRESSIVE_DISORDER_UP
AUJLA_IL22_AND_IL17A_SIGNALI...          SET       9    -0.059992   -0.0013224      0.29516      0.58053 AUJLA_IL22_AND_IL17A_SIGNALING
AUNG_GASTRIC_CANCER                      SET      48     -0.20915    -0.010636      0.15039      0.91783 AUNG_GASTRIC_CANCER
AZARE_NEOPLASTIC_TRANSFORMAT...1         SET      17     -0.32967   -0.0099854      0.24047      0.91479 AZARE_NEOPLASTIC_TRANSFORMATION_BY_STAT3_DN
AZARE_NEOPLASTIC_TRANSFORMAT...2         SET     116    -0.060518   -0.0047754      0.10642       0.7152 AZARE_NEOPLASTIC_TRANSFORMATION_BY_STAT3_UP
AZARE_STAT3_TARGETS                      SET      23    -0.061637   -0.0021712      0.25234      0.59648 AZARE_STAT3_TARGETS
BACOLOD_RESISTANCE_TO_ALKYLA...1         SET      46     0.073304    0.0036495      0.15456      0.31765 BACOLOD_RESISTANCE_TO_ALKYLATING_AGENTS_DN
BACOLOD_RESISTANCE_TO_ALKYLA...2         SET      23      0.39489      0.01391      0.21517     0.033246 BACOLOD_RESISTANCE_TO_ALKYLATING_AGENTS_UP
BAELDE_DIABETIC_NEPHROPATHY_...1         SET     407   -0.0052165  -0.00076492     0.054605      0.53805 BAELDE_DIABETIC_NEPHROPATHY_DN
BAELDE_DIABETIC_NEPHROPATHY_...2         SET      80    -0.021877    -0.001435      0.12497      0.56948 BAELDE_DIABETIC_NEPHROPATHY_UP
BAE_BRCA1_TARGETS_DN                     SET      29     0.011779   0.00046582       0.1946      0.47587 BAE_BRCA1_TARGETS_DN
BAE_BRCA1_TARGETS_UP                     SET      64    -0.035181   -0.0020649      0.13084      0.60599 BAE_BRCA1_TARGETS_UP
BAFNA_MUC4_TARGETS_UP                    SET       3      0.33452     0.004258      0.63509       0.2992 BAFNA_MUC4_TARGETS_UP
BAKER_HEMATOPOESIS_STAT1_TAR...          SET      10     -0.50222    -0.011669      0.33124      0.93525 BAKER_HEMATOPOESIS_STAT1_TARGETS
BAKER_HEMATOPOESIS_STAT5_TAR...          SET       7     -0.44172   -0.0085876      0.46614      0.82833 BAKER_HEMATOPOESIS_STAT5_TARGETS
BAKER_HEMATOPOIESIS_STAT3_TA...          SET      14      -0.6347    -0.017447      0.29645      0.98386 BAKER_HEMATOPOIESIS_STAT3_TARGETS
BAKKER_FOXO3_TARGETS_DN                  SET     161     -0.10568   -0.0098127     0.084027      0.89575 BAKKER_FOXO3_TARGETS_DN
BAKKER_FOXO3_TARGETS_UP                  SET      51     -0.23249    -0.012186      0.13843      0.95346 BAKKER_FOXO3_TARGETS_UP
BALDWIN_PRKCI_TARGETS_UP                 SET      37     -0.30991    -0.013841      0.18435      0.95362 BALDWIN_PRKCI_TARGETS_UP
BALLIF_DEVELOPMENTAL_DISABIL...          SET      13      -0.1259    -0.003335      0.27001      0.67948 BALLIF_DEVELOPMENTAL_DISABILITY_P16_P12_DELETION
BANDRES_RESPONSE_TO_CARMUSTI...1         SET      32    -0.051844   -0.0021536      0.16743      0.62159 BANDRES_RESPONSE_TO_CARMUSTIN_MGMT_24HR_DN
BANDRES_RESPONSE_TO_CARMUSTI...2         SET       8      0.12888    0.0026786      0.33256      0.34918 BANDRES_RESPONSE_TO_CARMUSTIN_MGMT_24HR_UP
BANDRES_RESPONSE_TO_CARMUSTI...3         SET     147    0.0040234    0.0003571     0.081134      0.48022 BANDRES_RESPONSE_TO_CARMUSTIN_MGMT_48HR_DN
BANDRES_RESPONSE_TO_CARMUSTI...4         SET      18      -0.2124   -0.0066199      0.22607      0.82627 BANDRES_RESPONSE_TO_CARMUSTIN_MGMT_48HR_UP
BANDRES_RESPONSE_TO_CARMUSTI...5         SET       9    -0.091498   -0.0020169      0.31102      0.61569 BANDRES_RESPONSE_TO_CARMUSTIN_WITHOUT_MGMT_24HR_DN
BANDRES_RESPONSE_TO_CARMUSTI...6         SET      12     -0.11888   -0.0030256      0.27586      0.66674 BANDRES_RESPONSE_TO_CARMUSTIN_WITHOUT_MGMT_24HR_UP
BANDRES_RESPONSE_TO_CARMUSTI...7         SET      28      0.27545     0.010704       0.1909     0.074531 BANDRES_RESPONSE_TO_CARMUSTIN_WITHOUT_MGMT_48HR_DN
BANDRES_RESPONSE_TO_CARMUSTI...8         SET      18    -0.040448   -0.0012606      0.22738      0.57059 BANDRES_RESPONSE_TO_CARMUSTIN_WITHOUT_MGMT_48HR_UP
BANG_VERTEPORFIN_ENDOMETRIAL...1         SET      14     -0.29646   -0.0081494      0.26491      0.86844 BANG_VERTEPORFIN_ENDOMETRIAL_CANCER_CELLS_DN
BANG_VERTEPORFIN_ENDOMETRIAL...2         SET      18     0.021279    0.0006632      0.24893      0.46594 BANG_VERTEPORFIN_ENDOMETRIAL_CANCER_CELLS_UP
BARIS_THYROID_CANCER_DN                  SET      54     -0.35789    -0.019301      0.14885      0.99189 BARIS_THYROID_CANCER_DN
BARIS_THYROID_CANCER_UP                  SET      23       0.4237     0.014925      0.21772     0.025828 BARIS_THYROID_CANCER_UP
BARRIER_CANCER_RELAPSE_NORMA...1         SET      27     -0.10441   -0.0039844      0.20188      0.69749 BARRIER_CANCER_RELAPSE_NORMAL_SAMPLE_DN
BARRIER_CANCER_RELAPSE_NORMA...2         SET      31     0.013183     0.000539      0.19867      0.47355 BARRIER_CANCER_RELAPSE_NORMAL_SAMPLE_UP
BARRIER_CANCER_RELAPSE_TUMOR...1         SET      10     -0.31469   -0.0073119      0.30954      0.84533 BARRIER_CANCER_RELAPSE_TUMOR_SAMPLE_DN
BARRIER_CANCER_RELAPSE_TUMOR...2         SET      14     -0.31336   -0.0086139      0.24108      0.90316 BARRIER_CANCER_RELAPSE_TUMOR_SAMPLE_UP
BARRIER_COLON_CANCER_RECURRE...1         SET      15     -0.46102    -0.013118      0.30773      0.93294 BARRIER_COLON_CANCER_RECURRENCE_DN
BARRIER_COLON_CANCER_RECURRE...2         SET      39     -0.04624   -0.0021201      0.16377      0.61116 BARRIER_COLON_CANCER_RECURRENCE_UP
BASAKI_YBX1_TARGETS_DN                   SET     360     0.091055     0.012573     0.057171     0.055626 BASAKI_YBX1_TARGETS_DN
BASAKI_YBX1_TARGETS_UP                   SET     271    -0.032973     -0.00396     0.063336      0.69868 BASAKI_YBX1_TARGETS_UP
BASSO_B_LYMPHOCYTE_NETWORK               SET     137    -0.038702    -0.003317     0.086876      0.67201 BASSO_B_LYMPHOCYTE_NETWORK
BASSO_CD40_SIGNALING_DN                  SET      69       0.1337    0.0081473      0.13965      0.16919 BASSO_CD40_SIGNALING_DN
BASSO_CD40_SIGNALING_UP                  SET      96     -0.16932    -0.012161      0.11039      0.93745 BASSO_CD40_SIGNALING_UP
BASSO_HAIRY_CELL_LEUKEMIA_DN             SET       5      0.10803    0.0017752      0.51771      0.41735 BASSO_HAIRY_CELL_LEUKEMIA_DN
