# TOTAL_GENES = 18870
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                                TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
BARRIER_CANCER_RELAPSE_NORMA...1         SET      28     0.084503    0.0032528      0.14715       0.2829 BARRIER_CANCER_RELAPSE_NORMAL_SAMPLE_DN
BARRIER_CANCER_RELAPSE_NORMA...2         SET      31      0.06326     0.002562      0.15581      0.34237 BARRIER_CANCER_RELAPSE_NORMAL_SAMPLE_UP
BARRIER_CANCER_RELAPSE_TUMOR...1         SET      10      0.12542    0.0028866      0.22293      0.28686 BARRIER_CANCER_RELAPSE_TUMOR_SAMPLE_DN
BARRIER_CANCER_RELAPSE_TUMOR...2         SET      15    -0.046366   -0.0013068       0.2153      0.58525 BARRIER_CANCER_RELAPSE_TUMOR_SAMPLE_UP
BARRIER_COLON_CANCER_RECURRE...1         SET      15     -0.84875    -0.023921      0.23016      0.99989 BARRIER_COLON_CANCER_RECURRENCE_DN
BARRIER_COLON_CANCER_RECURRE...2         SET      39    -0.017043  -0.00077402      0.12804      0.55294 BARRIER_COLON_CANCER_RECURRENCE_UP
BASAKI_YBX1_TARGETS_DN                   SET     363     0.021371    0.0029355     0.043008      0.30963 BASAKI_YBX1_TARGETS_DN
BASAKI_YBX1_TARGETS_UP                   SET     271     -0.10226    -0.012167     0.046036      0.98683 BASAKI_YBX1_TARGETS_UP
BASSO_B_LYMPHOCYTE_NETWORK               SET     137     0.026239    0.0022277     0.065542      0.34446 BASSO_B_LYMPHOCYTE_NETWORK
BASSO_CD40_SIGNALING_DN                  SET      68   -0.0082261  -0.00049294      0.10299      0.53183 BASSO_CD40_SIGNALING_DN
BASSO_CD40_SIGNALING_UP                  SET      97      0.15314     0.010952     0.082679     0.032002 BASSO_CD40_SIGNALING_UP
BASSO_HAIRY_CELL_LEUKEMIA_DN             SET       5      0.63297     0.010302      0.29984     0.017393 BASSO_HAIRY_CELL_LEUKEMIA_DN
BASSO_HAIRY_CELL_LEUKEMIA_UP             SET      76     0.098461    0.0062362     0.098249      0.15814 BASSO_HAIRY_CELL_LEUKEMIA_UP
BAUS_TFF2_TARGETS_DN                     SET      11     0.035815    0.0008645      0.30699      0.45356 BAUS_TFF2_TARGETS_DN
BAUS_TFF2_TARGETS_UP                     SET      31    -0.018895  -0.00076523      0.14048       0.5535 BAUS_TFF2_TARGETS_UP
BECKER_TAMOXIFEN_RESISTANCE_...1         SET      51    -0.011939  -0.00061986      0.11106       0.5428 BECKER_TAMOXIFEN_RESISTANCE_DN
BECKER_TAMOXIFEN_RESISTANCE_...2         SET      52     -0.19635    -0.010293      0.11222       0.9599 BECKER_TAMOXIFEN_RESISTANCE_UP
BEGUM_TARGETS_OF_PAX3_FOXO1_...1         SET       7      0.35777    0.0068896      0.36526      0.16367 BEGUM_TARGETS_OF_PAX3_FOXO1_FUSION_AND_PAX3
BEGUM_TARGETS_OF_PAX3_FOXO1_...2         SET      44      0.21726     0.010479      0.13115     0.048814 BEGUM_TARGETS_OF_PAX3_FOXO1_FUSION_DN
BEGUM_TARGETS_OF_PAX3_FOXO1_...3         SET      54    -0.084216   -0.0044988      0.12623      0.74765 BEGUM_TARGETS_OF_PAX3_FOXO1_FUSION_UP
BEIER_GLIOMA_STEM_CELL_DN                SET      64      0.23781     0.013826     0.095738    0.0065021 BEIER_GLIOMA_STEM_CELL_DN
BEIER_GLIOMA_STEM_CELL_UP                SET      37    -0.072009   -0.0031856      0.13323      0.70556 BEIER_GLIOMA_STEM_CELL_UP
BENITEZ_GBM_PROTEASOME_INHIB...          SET      47     -0.22851     -0.01139      0.11427      0.97723 BENITEZ_GBM_PROTEASOME_INHIBITION_RESPONSE
BENNETT_SYSTEMIC_LUPUS_ERYTH...          SET      28    -0.036669   -0.0014115      0.15632      0.59273 BENNETT_SYSTEMIC_LUPUS_ERYTHEMATOSUS
BENPORATH_CYCLING_GENES                  SET     619    -0.016385   -0.0029186     0.031772      0.69697 BENPORATH_CYCLING_GENES
BENPORATH_EED_TARGETS                    SET     934    -0.015119   -0.0032795     0.029776      0.69419 BENPORATH_EED_TARGETS
BENPORATH_ES_1                           SET     351     0.018742    0.0025323      0.04205      0.32791 BENPORATH_ES_1
BENPORATH_ES_2                           SET      36     -0.18175   -0.0079313      0.12921      0.92023 BENPORATH_ES_2
BENPORATH_ES_CORE_NINE                   SET       8    -0.065884   -0.0013563      0.22535      0.61499 BENPORATH_ES_CORE_NINE
BENPORATH_ES_CORE_NINE_CORRE...          SET      96      0.01563     0.001112     0.080273      0.42281 BENPORATH_ES_CORE_NINE_CORRELATED
BENPORATH_ES_WITH_H3K27ME3               SET    1017    -0.059126    -0.013352     0.028223      0.98191 BENPORATH_ES_WITH_H3K27ME3
BENPORATH_MYC_MAX_TARGETS                SET     723     0.046412    0.0089092     0.028884     0.054054 BENPORATH_MYC_MAX_TARGETS
BENPORATH_MYC_TARGETS_WITH_E...          SET     207     0.047568    0.0049548     0.053817      0.18839 BENPORATH_MYC_TARGETS_WITH_EBOX
BENPORATH_NANOG_TARGETS                  SET     936      0.05823     0.012643     0.026922     0.015281 BENPORATH_NANOG_TARGETS
BENPORATH_NOS_TARGETS                    SET     171     0.084273    0.0079861     0.061265     0.084491 BENPORATH_NOS_TARGETS
