run_id	ancestry	model	direction_class	source	source_label	n_returned_terms	n_significant_terms	min_adjusted_p
EUR_MDD_3TRAIT_discordant	EUR	MDD_3TRAIT	discordant	CORUM	CORUM	189	0	1.0
EUR_MDD_3TRAIT_discordant	EUR	MDD_3TRAIT	discordant	TF	Transcription factor target	7901	0	1.0
EUR_MDD_3TRAIT_discordant	EUR	MDD_3TRAIT	discordant	MIRNA	miRNA target	2567	0	1.0
EUR_MDD_3TRAIT_dual	EUR	MDD_3TRAIT	dual	GO:BP	GO biological process	3990	0	1.0
EUR_MDD_3TRAIT_dual	EUR	MDD_3TRAIT	dual	GO:MF	GO molecular function	945	0	1.0
EUR_MDD_3TRAIT_dual	EUR	MDD_3TRAIT	dual	GO:CC	GO cellular component	582	0	1.0
EUR_MDD_3TRAIT_dual	EUR	MDD_3TRAIT	dual	REAC	Reactome	906	0	1.0
EUR_MDD_3TRAIT_dual	EUR	MDD_3TRAIT	dual	KEGG	KEGG pathway	265	0	1.0
EUR_MDD_3TRAIT_dual	EUR	MDD_3TRAIT	dual	WP	WikiPathways	407	0	1.0
EUR_MDD_3TRAIT_dual	EUR	MDD_3TRAIT	dual	HP	Human phenotype	3251	0	1.0
EUR_MDD_3TRAIT_dual	EUR	MDD_3TRAIT	dual	HPA	Human Protein Atlas	661	0	1.0
EUR_MDD_3TRAIT_dual	EUR	MDD_3TRAIT	dual	CORUM	CORUM	257	0	1.0
EUR_MDD_3TRAIT_dual	EUR	MDD_3TRAIT	dual	TF	Transcription factor target	7880	0	0.1203533476447063
EUR_MDD_3TRAIT_dual	EUR	MDD_3TRAIT	dual	MIRNA	miRNA target	2578	0	1.0
EUR_SCZ_3TRAIT_concordant	EUR	SCZ_3TRAIT	concordant	GO:BP	GO biological process	5609	0	1.0
EUR_SCZ_3TRAIT_concordant	EUR	SCZ_3TRAIT	concordant	GO:MF	GO molecular function	1250	0	1.0
EUR_SCZ_3TRAIT_concordant	EUR	SCZ_3TRAIT	concordant	GO:CC	GO cellular component	835	0	1.0
EUR_SCZ_3TRAIT_concordant	EUR	SCZ_3TRAIT	concordant	REAC	Reactome	1313	0	1.0
EUR_SCZ_3TRAIT_concordant	EUR	SCZ_3TRAIT	concordant	KEGG	KEGG pathway	299	0	1.0
EUR_SCZ_3TRAIT_concordant	EUR	SCZ_3TRAIT	concordant	WP	WikiPathways	547	0	0.07022304004859091
EUR_SCZ_3TRAIT_concordant	EUR	SCZ_3TRAIT	concordant	HP	Human phenotype	4641	0	1.0
EUR_SCZ_3TRAIT_concordant	EUR	SCZ_3TRAIT	concordant	HPA	Human Protein Atlas	708	0	1.0
EUR_SCZ_3TRAIT_concordant	EUR	SCZ_3TRAIT	concordant	CORUM	CORUM	501	0	1.0
EUR_SCZ_3TRAIT_concordant	EUR	SCZ_3TRAIT	concordant	TF	Transcription factor target	8462	0	1.0
EUR_SCZ_3TRAIT_concordant	EUR	SCZ_3TRAIT	concordant	MIRNA	miRNA target	2826	0	1.0
EUR_SCZ_3TRAIT_discordant	EUR	SCZ_3TRAIT	discordant	GO:BP	GO biological process	4277	0	1.0
EUR_SCZ_3TRAIT_discordant	EUR	SCZ_3TRAIT	discordant	GO:MF	GO molecular function	1004	0	1.0
EUR_SCZ_3TRAIT_discordant	EUR	SCZ_3TRAIT	discordant	GO:CC	GO cellular component	650	0	1.0
EUR_SCZ_3TRAIT_discordant	EUR	SCZ_3TRAIT	discordant	REAC	Reactome	1019	0	1.0
EUR_SCZ_3TRAIT_discordant	EUR	SCZ_3TRAIT	discordant	KEGG	KEGG pathway	280	0	1.0
EUR_SCZ_3TRAIT_discordant	EUR	SCZ_3TRAIT	discordant	WP	WikiPathways	461	1	2.4137678985488723e-05
EUR_SCZ_3TRAIT_discordant	EUR	SCZ_3TRAIT	discordant	HP	Human phenotype	3537	0	1.0
EUR_SCZ_3TRAIT_discordant	EUR	SCZ_3TRAIT	discordant	HPA	Human Protein Atlas	684	0	1.0
EUR_SCZ_3TRAIT_discordant	EUR	SCZ_3TRAIT	discordant	CORUM	CORUM	193	0	1.0
EUR_SCZ_3TRAIT_discordant	EUR	SCZ_3TRAIT	discordant	TF	Transcription factor target	8079	0	1.0
EUR_SCZ_3TRAIT_discordant	EUR	SCZ_3TRAIT	discordant	MIRNA	miRNA target	2717	0	1.0
EUR_SCZ_3TRAIT_dual	EUR	SCZ_3TRAIT	dual	GO:BP	GO biological process	4590	2	6.825258463627083e-11
EUR_SCZ_3TRAIT_dual	EUR	SCZ_3TRAIT	dual	GO:MF	GO molecular function	1113	1	0.03366616902992189
EUR_SCZ_3TRAIT_dual	EUR	SCZ_3TRAIT	dual	GO:CC	GO cellular component	720	0	1.0
EUR_SCZ_3TRAIT_dual	EUR	SCZ_3TRAIT	dual	REAC	Reactome	1098	0	1.0
EUR_SCZ_3TRAIT_dual	EUR	SCZ_3TRAIT	dual	KEGG	KEGG pathway	282	1	3.144068969890206e-07
EUR_SCZ_3TRAIT_dual	EUR	SCZ_3TRAIT	dual	WP	WikiPathways	468	0	1.0
EUR_SCZ_3TRAIT_dual	EUR	SCZ_3TRAIT	dual	HP	Human phenotype	3948	0	1.0
EUR_SCZ_3TRAIT_dual	EUR	SCZ_3TRAIT	dual	HPA	Human Protein Atlas	680	0	1.0
EUR_SCZ_3TRAIT_dual	EUR	SCZ_3TRAIT	dual	CORUM	CORUM	340	0	1.0
EUR_SCZ_3TRAIT_dual	EUR	SCZ_3TRAIT	dual	TF	Transcription factor target	8201	0	1.0
EUR_SCZ_3TRAIT_dual	EUR	SCZ_3TRAIT	dual	MIRNA	miRNA target	2724	0	1.0
