# MEAN_SAMPLE_SIZE = 24836
# TOTAL_GENES = 19173
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE                                TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
BANG_VERTEPORFIN_ENDOMETRIAL...2         SET      18   -0.0039384  -0.00012062      0.19865      0.50791 BANG_VERTEPORFIN_ENDOMETRIAL_CANCER_CELLS_UP
BARIS_THYROID_CANCER_DN                  SET      54    -0.019165   -0.0010157      0.11967      0.56362 BARIS_THYROID_CANCER_DN
BARIS_THYROID_CANCER_UP                  SET      23      0.22299    0.0077188      0.16853     0.092902 BARIS_THYROID_CANCER_UP
BARRIER_CANCER_RELAPSE_NORMA...1         SET      29     -0.15797   -0.0061392      0.15222       0.8503 BARRIER_CANCER_RELAPSE_NORMAL_SAMPLE_DN
BARRIER_CANCER_RELAPSE_NORMA...2         SET      31     -0.10926     -0.00439      0.14997      0.76687 BARRIER_CANCER_RELAPSE_NORMAL_SAMPLE_UP
BARRIER_CANCER_RELAPSE_TUMOR...1         SET      10     0.069106    0.0015779      0.25755      0.39423 BARRIER_CANCER_RELAPSE_TUMOR_SAMPLE_DN
BARRIER_CANCER_RELAPSE_TUMOR...2         SET      15     0.023153   0.00064737      0.21184      0.45648 BARRIER_CANCER_RELAPSE_TUMOR_SAMPLE_UP
BARRIER_COLON_CANCER_RECURRE...1         SET      15      0.10691    0.0029893      0.22979      0.32087 BARRIER_COLON_CANCER_RECURRENCE_DN
BARRIER_COLON_CANCER_RECURRE...2         SET      39      0.13586    0.0061212      0.13934      0.16479 BARRIER_COLON_CANCER_RECURRENCE_UP
BASAKI_YBX1_TARGETS_DN                   SET     366    -0.029316   -0.0040116     0.047857      0.72992 BASAKI_YBX1_TARGETS_DN
BASAKI_YBX1_TARGETS_UP                   SET     274     0.086111     0.010221     0.050727     0.044807 BASAKI_YBX1_TARGETS_UP
BASSO_B_LYMPHOCYTE_NETWORK               SET     138    0.0028185   0.00023826     0.071396      0.48426 BASSO_B_LYMPHOCYTE_NETWORK
BASSO_CD40_SIGNALING_DN                  SET      70     -0.19689    -0.011875      0.11151      0.96127 BASSO_CD40_SIGNALING_DN
BASSO_CD40_SIGNALING_UP                  SET      98      -0.1047   -0.0074664       0.0907      0.87581 BASSO_CD40_SIGNALING_UP
BASSO_HAIRY_CELL_LEUKEMIA_DN             SET       5     -0.24342   -0.0039305      0.40925      0.72401 BASSO_HAIRY_CELL_LEUKEMIA_DN
BASSO_HAIRY_CELL_LEUKEMIA_UP             SET      76      0.10368    0.0065146      0.10601      0.16404 BASSO_HAIRY_CELL_LEUKEMIA_UP
BAUS_TFF2_TARGETS_DN                     SET      11     -0.58069    -0.013905      0.26545      0.98564 BAUS_TFF2_TARGETS_DN
BAUS_TFF2_TARGETS_UP                     SET      31      0.07117    0.0028595      0.14979      0.31735 BAUS_TFF2_TARGETS_UP
BECKER_TAMOXIFEN_RESISTANCE_...1         SET      51     -0.12131   -0.0062482      0.12483      0.83441 BECKER_TAMOXIFEN_RESISTANCE_DN
BECKER_TAMOXIFEN_RESISTANCE_...2         SET      53    -0.038496   -0.0020212      0.12494        0.621 BECKER_TAMOXIFEN_RESISTANCE_UP
BEGUM_TARGETS_OF_PAX3_FOXO1_...1         SET       7     -0.23919   -0.0045695      0.39332      0.72844 BEGUM_TARGETS_OF_PAX3_FOXO1_FUSION_AND_PAX3
BEGUM_TARGETS_OF_PAX3_FOXO1_...2         SET      45    -0.063411   -0.0030685      0.14148      0.67299 BEGUM_TARGETS_OF_PAX3_FOXO1_FUSION_DN
BEGUM_TARGETS_OF_PAX3_FOXO1_...3         SET      54    -0.007837  -0.00041534      0.13091      0.52387 BEGUM_TARGETS_OF_PAX3_FOXO1_FUSION_UP
BEIER_GLIOMA_STEM_CELL_DN                SET      64    -0.098706   -0.0056934      0.10806      0.81949 BEIER_GLIOMA_STEM_CELL_DN
BEIER_GLIOMA_STEM_CELL_UP                SET      37     -0.14372   -0.0063078      0.14323      0.84217 BEIER_GLIOMA_STEM_CELL_UP
BENITEZ_GBM_PROTEASOME_INHIB...          SET      47      -0.1251   -0.0061865      0.11495      0.86177 BENITEZ_GBM_PROTEASOME_INHIBITION_RESPONSE
BENNETT_SYSTEMIC_LUPUS_ERYTH...          SET      29     -0.12391   -0.0048156      0.17242      0.76382 BENNETT_SYSTEMIC_LUPUS_ERYTHEMATOSUS
BENPORATH_CYCLING_GENES                  SET     621     0.029204    0.0051702     0.034174       0.1964 BENPORATH_CYCLING_GENES
BENPORATH_EED_TARGETS                    SET     950     0.012451     0.002702     0.031867      0.34801 BENPORATH_EED_TARGETS
BENPORATH_ES_1                           SET     352     0.024763    0.0033244     0.045478      0.29305 BENPORATH_ES_1
BENPORATH_ES_2                           SET      36      0.11683     0.005058      0.12449        0.174 BENPORATH_ES_2
BENPORATH_ES_CORE_NINE                   SET       8      0.13771    0.0028124      0.28879      0.31674 BENPORATH_ES_CORE_NINE
BENPORATH_ES_CORE_NINE_CORRE...          SET      96     0.051157    0.0036109     0.088639      0.28193 BENPORATH_ES_CORE_NINE_CORRELATED
BENPORATH_ES_WITH_H3K27ME3               SET    1033   0.00051589   0.00011648     0.030832      0.49333 BENPORATH_ES_WITH_H3K27ME3
BENPORATH_MYC_MAX_TARGETS                SET     730     0.078004     0.014928     0.030545    0.0053322 BENPORATH_MYC_MAX_TARGETS
BENPORATH_MYC_TARGETS_WITH_E...          SET     210    -0.024209   -0.0025197     0.058369      0.66084 BENPORATH_MYC_TARGETS_WITH_EBOX
BENPORATH_NANOG_TARGETS                  SET     942     0.021275    0.0045985     0.029365      0.23439 BENPORATH_NANOG_TARGETS
BENPORATH_NOS_TARGETS                    SET     174     0.046868    0.0044447     0.065194      0.23611 BENPORATH_NOS_TARGETS
BENPORATH_OCT4_TARGETS                   SET     277     0.020483    0.0024443      0.05149      0.34539 BENPORATH_OCT4_TARGETS
BENPORATH_PRC2_TARGETS                   SET     594    -0.011154   -0.0019326     0.041111      0.60692 BENPORATH_PRC2_TARGETS
BENPORATH_PROLIFERATION                  SET     145   -0.0034984  -0.00030309     0.069726      0.52001 BENPORATH_PROLIFERATION
BENPORATH_SOX2_TARGETS                   SET     706     0.048876    0.0092049     0.033563     0.072671 BENPORATH_SOX2_TARGETS
BENPORATH_SUZ12_TARGETS                  SET     911    -0.011077   -0.0023566     0.032767      0.63234 BENPORATH_SUZ12_TARGETS
BERENJENO_ROCK_SIGNALING_NOT...1         SET      48    -0.071505   -0.0035734      0.13964      0.69569 BERENJENO_ROCK_SIGNALING_NOT_VIA_RHOA_DN
BERENJENO_ROCK_SIGNALING_NOT...2         SET      28     -0.41819     -0.01597      0.16044      0.99542 BERENJENO_ROCK_SIGNALING_NOT_VIA_RHOA_UP
BERENJENO_TRANSFORMED_BY_RHO...1         SET     381    -0.054174   -0.0075607     0.044807      0.88667 BERENJENO_TRANSFORMED_BY_RHOA_DN
BERENJENO_TRANSFORMED_BY_RHO...2         SET      28      0.12451    0.0047549      0.17013      0.23214 BERENJENO_TRANSFORMED_BY_RHOA_FOREVER_DN
BERENJENO_TRANSFORMED_BY_RHO...3         SET      20     -0.14641   -0.0047265      0.19692      0.77142 BERENJENO_TRANSFORMED_BY_RHOA_FOREVER_UP
BERENJENO_TRANSFORMED_BY_RHO...4         SET      28     -0.16263   -0.0062106      0.18505      0.81026 BERENJENO_TRANSFORMED_BY_RHOA_REVERSIBLY_DN
BERENJENO_TRANSFORMED_BY_RHO...5         SET       8    -0.061135   -0.0012486      0.36912      0.56577 BERENJENO_TRANSFORMED_BY_RHOA_REVERSIBLY_UP
BERENJENO_TRANSFORMED_BY_RHO...6         SET     523    0.0043939   0.00071575     0.036805      0.45249 BERENJENO_TRANSFORMED_BY_RHOA_UP
BERGER_MBD2_TARGETS                      SET       4     -0.29442   -0.0042522      0.48088      0.72981 BERGER_MBD2_TARGETS
BERNARD_PPAPDC1B_TARGETS_DN              SET      56      0.16721    0.0090237      0.11748     0.077327 BERNARD_PPAPDC1B_TARGETS_DN
BERNARD_PPAPDC1B_TARGETS_UP              SET      36    -0.071083   -0.0030773      0.16357      0.66806 BERNARD_PPAPDC1B_TARGETS_UP
BERTUCCI_INVASIVE_CARCINOMA_...1         SET      43     -0.27554    -0.013034      0.13608      0.97855 BERTUCCI_INVASIVE_CARCINOMA_DUCTAL_VS_LOBULAR_DN
