# MEAN_SAMPLE_SIZE = 74380
# TOTAL_GENES = 17852
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                                TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
BARIS_THYROID_CANCER_UP                  SET      21      0.10545    0.0036148      0.31289      0.36805 BARIS_THYROID_CANCER_UP
BARRIER_CANCER_RELAPSE_NORMA...1         SET      25     -0.19172   -0.0071697      0.22754      0.80026 BARRIER_CANCER_RELAPSE_NORMAL_SAMPLE_DN
BARRIER_CANCER_RELAPSE_NORMA...2         SET      29    0.0071325   0.00028725      0.24715      0.48849 BARRIER_CANCER_RELAPSE_NORMAL_SAMPLE_UP
BARRIER_CANCER_RELAPSE_TUMOR...1         SET      10     -0.35942   -0.0085045      0.34012      0.85468 BARRIER_CANCER_RELAPSE_TUMOR_SAMPLE_DN
BARRIER_CANCER_RELAPSE_TUMOR...2         SET      15      0.16926    0.0049045      0.32926       0.3036 BARRIER_CANCER_RELAPSE_TUMOR_SAMPLE_UP
BARRIER_COLON_CANCER_RECURRE...1         SET      14     -0.46148    -0.012919       0.3337      0.91664 BARRIER_COLON_CANCER_RECURRENCE_DN
BARRIER_COLON_CANCER_RECURRE...2         SET      37    -0.068833   -0.0031305      0.20293      0.63277 BARRIER_COLON_CANCER_RECURRENCE_UP
BASAKI_YBX1_TARGETS_DN                   SET     354    0.0052309   0.00072929     0.068511      0.46957 BASAKI_YBX1_TARGETS_DN
BASAKI_YBX1_TARGETS_UP                   SET     261     0.019604     0.002353     0.075295       0.3973 BASAKI_YBX1_TARGETS_UP
BASSO_B_LYMPHOCYTE_NETWORK               SET     124      0.29596     0.024581      0.10955    0.0034526 BASSO_B_LYMPHOCYTE_NETWORK
BASSO_CD40_SIGNALING_DN                  SET      59    -0.085069   -0.0048826      0.16724      0.69451 BASSO_CD40_SIGNALING_DN
BASSO_CD40_SIGNALING_UP                  SET      90    -0.010457  -0.00074063      0.14254      0.52924 BASSO_CD40_SIGNALING_UP
BASSO_HAIRY_CELL_LEUKEMIA_DN             SET       5     -0.48395   -0.0080982      0.59465      0.79212 BASSO_HAIRY_CELL_LEUKEMIA_DN
BASSO_HAIRY_CELL_LEUKEMIA_UP             SET      74      0.14155    0.0090949      0.15893      0.18656 BASSO_HAIRY_CELL_LEUKEMIA_UP
BAUS_TFF2_TARGETS_DN                     SET      11      -1.1781    -0.029235      0.44937      0.99562 BAUS_TFF2_TARGETS_DN
BAUS_TFF2_TARGETS_UP                     SET      28    -0.013443    -0.000532      0.24142       0.5222 BAUS_TFF2_TARGETS_UP
BECKER_TAMOXIFEN_RESISTANCE_...1         SET      50     -0.13165   -0.0069575      0.18375      0.76314 BECKER_TAMOXIFEN_RESISTANCE_DN
